DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	10p15.3	10	1110225	WDR37	WDR37			ENSG00000047056	NA	NA	rs10794720-T	rs10794720	0	10794720	intron_variant	0	0.08	1E-8	8	(eGFRcrea)	0.01	[0.010-0.018] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	15q21.3	15	53654396	WDR72	WDR72			ENSG00000166415	NA	NA	rs491567-C	rs491567	0	491567	intron_variant	0	0.22	3E-13	12.5228787452803	(eGFRcrea)	0.01	[0.005-0.013] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	9q21.11	9	68819791	PIP5K1B, FAM122A	PIP5K1B			ENSG00000107242	NA	NA	rs4744712-A	rs4744712	0	4744712	intron_variant	0	0.39	8E-14	13.0969100130081	(eGFRcrea)	0.01	[0.008-0.016] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	1p13.3	1	109457216	AMIGO1, SORT1, ATXN7L2, SYPL2, CYB561D1, PSMA5	PSMA5 - SYPL2	ENSG00000143106	ENSG00000143028		30768	9330	rs1933182-A	rs1933182	0	1933182	intergenic_variant	1	0.3	1E-7	7	(eGFRcrea)	0.01	[0.006-0.010] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	13q21.33	13	71773564	DACH1	DACH1			ENSG00000276644	NA	NA	rs626277-C	rs626277	0	626277	intron_variant	0	0.4	3E-11	10.5228787452803	(eGFRcrea)	0.01	[0.007-0.011] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	15q24.2	15	75866642	UBE2Q2, FBX022	UBE2Q2			ENSG00000140367	NA	NA	rs1394125-A	rs1394125	0	1394125	intron_variant	0	0.35	3E-17	16.5228787452803	(eGFRcrea)	0.01	[0.007-0.011] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	17q23.2	17	61379228	BCAS3, TBX2, C17orf82	BCAS3, AC005746.2			ENSG00000141376, ENSG00000267131	NA	NA	rs9895661-C	rs9895661	0	9895661	non_coding_transcript_exon_variant	0	0.19	1E-15	15	(eGFRcrea)	0.01	[0.007-0.015] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	2p25.2	2	5767748	SOX11	AC010729.1 - LINC01810	ENSG00000236106	ENSG00000237266		37393	42893	rs16864170-C	rs16864170	0	16864170	intergenic_variant	1	0.05	2E-7	6.69897000433602	(CKD)	1.3	[1.18-1.43]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	3q23	3	142088295	TFDP2	TFDP2			ENSG00000114126	NA	NA	rs347685-C	rs347685	0	347685	intron_variant	0	0.28	3E-11	10.5228787452803	(eGFRcrea)	1.09	[0.007-0.011] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	1q21.3	1	150979001	SETDB1, LASS2, ANXA9, PRUNE, FAM63A, BNIPL	AL590133.1 - ANXA9	ENSG00000231073	ENSG00000143412		3467	3248	rs267734-C	rs267734	0	267734	regulatory_region_variant	1	0.2	1E-12	12	(eGFRcrea)	0.01	[0.004-0.016] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
