Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMUSG00000064370	ENSG00000198727	MT-CYB	mt-Cytb
ENSMUSG00000064368	ENSG00000198695	MT-ND6	mt-Nd6
ENSMUSG00000064367	ENSG00000198786	MT-ND5	mt-Nd5
ENSMUSG00000064363	ENSG00000198886	MT-ND4	mt-Nd4
ENSMUSG00000065947	ENSG00000212907	MT-ND4L	mt-Nd4l
ENSMUSG00000064360	ENSG00000198840	MT-ND3	mt-Nd3
ENSMUSG00000064358	ENSG00000198938	MT-CO3	mt-Co3
ENSMUSG00000064357	ENSG00000198899	MT-ATP6	mt-Atp6
ENSMUSG00000064356	ENSG00000228253	MT-ATP8	mt-Atp8
ENSMUSG00000064354	ENSG00000198712	MT-CO2	mt-Co2
ENSMUSG00000064351	ENSG00000198804	MT-CO1	mt-Co1
ENSMUSG00000064345	ENSG00000198763	MT-ND2	mt-Nd2
ENSMUSG00000064341	ENSG00000198888	MT-ND1	mt-Nd1
ENSMUSG00000065208	ENSG00000263776	SNORA4	Gm24616
ENSMUSG00000065678	ENSG00000206888	RNU6-48P	Gm24261
ENSMUSG00000076399	ENSG00000207755	MIR450A2	Mir450-2
ENSMUSG00000078129	ENSG00000182584	ACTL10	Actl10
ENSMUSG00000084560	ENSG00000201231	RNU4-50P	Gm26478
ENSMUSG00000088407	ENSG00000239007	RNU7-95P	Gm25884
ENSMUSG00000065422	ENSG00000207870	MIR221	Mir221
ENSMUSG00000095059	ENSG00000199468	RNU6-556P	Gm25670
ENSMUSG00000088661	ENSG00000201894	RNU6-967P	Gm25334
ENSMUSG00000065604	ENSG00000283797	MIR29B1	Mir29b-1
ENSMUSG00000088710	ENSG00000252491	RNU1-142P	Gm22730
ENSMUSG00000088002	ENSG00000201308	RNU6-512P	Gm24775
ENSMUSG00000087909	ENSG00000276626	AC022336.3	Gm22035
ENSMUSG00000076387	ENSG00000284191	MIR671	Mir671
ENSMUSG00000088283	ENSG00000252137	RNU6-1338P	Gm23587
ENSMUSG00000088283	ENSG00000222338	RNU6-174P	Gm23587
ENSMUSG00000089066	ENSG00000252934	RNU7-172P	Gm22836
ENSMUSG00000087777	ENSG00000202051	RNU6-382P	Gm22321
ENSMUSG00000064762	ENSG00000200807	RNU1-32P	Gm23738
ENSMUSG00000096804	ENSG00000239007	RNU7-95P	Gm23411
ENSMUSG00000065635	ENSG00000274091	SNORD1C	Gm24253
ENSMUSG00000088146	ENSG00000252906	SCARNA3	Gm24718
ENSMUSG00000070072	ENSG00000207569	MIR433	Mir433
ENSMUSG00000064889	ENSG00000199892	RNU1-17P	Gm24200
ENSMUSG00000076143	ENSG00000211997	MIR708	Mir708
ENSMUSG00000064621	ENSG00000201036	AL132709.2	Gm26922
ENSMUSG00000064621	ENSG00000200150	AL132709.1	Gm26922
ENSMUSG00000088069	ENSG00000252704	RN7SKP277	Gm23250
